id,name,country,lt,ln,pop
440,Bordertown,AUS,-36.31619546,140.7666426,1976
441,Penola,AUS,-37.38295205,140.8166654,1513
442,Kingoonya,AUS,-30.89957518,135.2999996,50
443,Kimba,AUS,-33.14961871,136.4333671,636
444,Streaky Bay,AUS,-32.81187176,134.2149296,614.5
445,Cowell,AUS,-33.68286782,136.9166451,537
446,Tumby Bay,AUS,-34.38292845,136.0833109,1791
447,Andamooka,AUS,-30.43097329,137.1655704,528
448,Woomera,AUS,-31.14958576,136.8000114,450
449,Port Pirie,AUS,-33.19106321,137.9900162,12417
450,Gawler,AUS,-34.60735919,138.7263537,15542.5
451,Murray Bridge,AUS,-35.12960122,139.2600162,14185.5
452,Victor Harbor,AUS,-35.55960081,138.6173164,7489
453,Hamilton,AUS,-37.73119953,142.0234135,6992.5
454,Ouyen,AUS,-35.06619424,142.3166772,912
455,Colac,AUS,-38.33953449,143.5800109,7450
456,Stawell,AUS,-37.05961261,142.7600093,4596
457,Horsham,AUS,-36.70960814,142.1900183,11985.5
458,Ararat,AUS,-37.27954751,142.9099743,5464
459,Maryborough,AUS,-37.04958738,143.729976,5838.5
460,Bairnsdale,AUS,-37.82959145,147.6099975,9427
461,Sale,AUS,-38.10957436,147.0600052,17701.5
462,Traralgon,AUS,-38.19959471,146.5300118,16982.5
463,Wonthaggi,AUS,-38.60949217,145.5900175,4471.5
464,Cranbourne,AUS,-38.09960081,145.2833695,249955
465,Ballarat,AUS,-37.55958209,143.8400468,73404
466,Melton,AUS,-37.68954832,144.570028,29750
467,Seymour,AUS,-37.03423948,145.1273067,3693
468,Shepparton,AUS,-36.37458982,145.3913732,33430.5
469,Cobram,AUS,-35.91963051,145.6500138,4659
470,Swan Hill,AUS,-35.33961424,143.5400134,9073
471,Sunbury,AUS,-37.56960732,144.7100195,18677.5
472,Proserpine,AUS,-20.41623574,148.5834781,3976
473,Theodore,AUS,-24.94949909,150.0833349,246
474,Eidsvold,AUS,-25.36621784,151.1333483,459
475,Barcaldine,AUS,-23.56617267,145.2833695,1068
476,Winton,AUS,-22.39962889,143.0332743,1157
477,Longreach,AUS,-23.44959064,144.2500476,2894
